[2025-04-05 15:45:06,581: INFO: main: Logger is implemented]
[2025-04-14 23:42:49,051: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-14 23:42:49,058: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-14 23:42:49,059: INFO: common: created directory at: artifacts]
[2025-04-14 23:42:49,060: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-14 23:42:49,912: INFO: 2516181735: file is downloaded]
[2025-04-14 23:50:06,592: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-14 23:50:06,593: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-14 23:50:06,593: INFO: common: created directory at: artifacts]
[2025-04-14 23:50:06,594: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-14 23:50:07,497: INFO: 2516181735: file is downloaded]
[2025-04-14 23:54:18,119: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-14 23:54:18,120: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-14 23:54:18,120: INFO: common: created directory at: artifacts]
[2025-04-14 23:54:18,121: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-14 23:54:18,722: INFO: 2516181735: file is downloaded]
[2025-04-14 23:55:55,026: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-14 23:55:55,027: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-14 23:55:55,027: INFO: common: created directory at: artifacts]
[2025-04-14 23:55:55,028: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-14 23:55:55,713: INFO: 2516181735: file is downloaded]
[2025-04-14 23:56:30,673: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-14 23:56:30,675: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-14 23:56:30,676: INFO: common: created directory at: artifacts]
[2025-04-14 23:56:30,676: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-14 23:56:31,787: INFO: 2516181735: file is downloaded]
[2025-04-16 14:31:01,026: INFO: main: stage DATA INGESTION STAGE initiated]
[2025-04-16 14:31:01,033: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-16 14:31:01,034: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-16 14:31:01,034: INFO: common: created directory at: artifacts]
[2025-04-16 14:31:01,034: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-16 14:31:02,871: INFO: data_ingestion: file is downloaded]
[2025-04-16 14:31:02,996: INFO: main: Stage DATA INGESTION STAGE Completed]
[2025-04-18 09:21:46,421: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-18 18:37:38,553: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-18 18:37:39,228: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 18:37:39,236: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 18:37:39,241: INFO: common: created directory at: artifacts]
[2025-04-18 18:37:39,242: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-18 18:42:28,449: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-18 18:42:28,933: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 18:42:28,934: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 18:42:28,935: INFO: common: created directory at: artifacts]
[2025-04-18 18:42:28,936: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-18 18:44:35,654: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 18:44:35,655: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 18:44:35,658: INFO: common: created directory at: artifacts]
[2025-04-18 18:44:35,659: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-18 19:02:02,521: INFO: main: stage DATA INGESTION STAGE initiated]
[2025-04-18 19:02:02,534: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 19:02:02,544: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 19:02:02,545: INFO: common: created directory at: artifacts]
[2025-04-18 19:02:02,545: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-18 19:02:03,922: INFO: data_ingestion: file is downloaded]
[2025-04-18 19:02:04,044: INFO: main: Stage DATA INGESTION STAGE Completed]
[2025-04-18 19:02:04,045: INFO: main: stage DATA TRANSFORMATION STAGE initiated]
[2025-04-18 19:02:04,046: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 19:02:04,047: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 19:02:04,048: INFO: common: created directory at: artifacts]
[2025-04-18 19:02:04,048: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-18 19:02:04,048: INFO: data_ingestion: File already exists]
[2025-04-18 19:02:04,141: INFO: main: Stage DATA TRANSFORMATION STAGE Completed]
[2025-04-18 19:03:56,877: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-18 19:03:58,468: INFO: main: stage DATA INGESTION STAGE initiated]
[2025-04-18 19:03:58,469: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 19:03:58,470: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 19:03:58,471: INFO: common: created directory at: artifacts]
[2025-04-18 19:03:58,471: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-18 19:03:58,472: INFO: data_ingestion: File already exists]
[2025-04-18 19:03:58,555: INFO: main: Stage DATA INGESTION STAGE Completed]
[2025-04-18 19:03:58,555: INFO: main: stage DATA TRANSFORMATION STAGE initiated]
[2025-04-18 19:03:58,556: ERROR: main: 'DataIngestionTrainingPipeline' object has no attribute 'initiate_data_transformation']
Traceback (most recent call last):
  File "D:\pythonProjects\Agentic_AI\main.py", line 20, in <module>
    data_ingestion_pipeline.initiate_data_transformation()
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DataIngestionTrainingPipeline' object has no attribute 'initiate_data_transformation'. Did you mean: 'initiate_data_ingestion'?
[2025-04-18 19:04:11,905: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-18 19:04:12,438: INFO: main: stage DATA INGESTION STAGE initiated]
[2025-04-18 19:04:12,439: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 19:04:12,440: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 19:04:12,441: INFO: common: created directory at: artifacts]
[2025-04-18 19:04:12,441: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-18 19:04:12,441: INFO: data_ingestion: File already exists]
[2025-04-18 19:04:12,529: INFO: main: Stage DATA INGESTION STAGE Completed]
[2025-04-18 19:04:12,530: INFO: main: stage DATA TRANSFORMATION STAGE initiated]
[2025-04-18 19:04:12,531: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 19:04:12,531: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 19:04:12,531: INFO: common: created directory at: artifacts]
[2025-04-18 19:04:12,532: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-18 19:04:15,710: INFO: main: Stage DATA TRANSFORMATION STAGE Completed]
[2025-04-18 19:04:29,458: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-18 19:04:29,981: INFO: main: stage DATA INGESTION STAGE initiated]
[2025-04-18 19:04:29,982: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 19:04:29,983: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 19:04:29,983: INFO: common: created directory at: artifacts]
